,job_ref,job_title,location,salary,description,type,extraction_date,salary_low,salary_high
64,['57346'],Natural Language Processing Engineer,"North London, London","£30000 - £80000 per annum + bonus, benefits"," North London UK Up to £80000 salary Global leading tech giant worth over £1bn looking for a  to join their Research team Strong NLP Machine Learning skills required as well as the ability to build ML NLP models to scale  This hugely successful start-up have grown out to be a market-leader and valued over £15 billion This FTSE 100 tech-giant have one of the best technical teams on the globe they are building out their research team and need an NLP Engineer to help innovate their tech function Your responsibilities as a  will include but not be limited to:   Please register your interest by sending your CV to Luke Frost via the Apply Link on this page Design and deploy NLP models and solutions Apply Natural Language Processing ML techniques to big data-sets Build ML NLP models to scale and deploy them for commercial use ""Research cutting-edge NLP techniques build and deploy PoCs"" Minimum of a BSc from good university in stem topic ie maths stats computer science physics Commercial experience researching and applying Natural Language Processing techniques such as text Summarisation translation information extraction embeddings question answering etc Proven experience building and deploying NLP models Good knowledge of software engineering and strong programming skills",Permanent,2019-10-24,30000,80000
65,['VACnewo20'],Lead Data Scientist,London,£105000 - £115000 per annum + Bonus,£115000   : A leading retail bank is looking for a  to join their advanced analytics function in  to build a new machine learning practice from the ground-up You will form a team focused on bringing machine learning best-practice into the business to help across many different business areas This is a pivotal role and you will be expected to help build a team over the coming years which will take the company to new levels The  will also be required to spend a proportion of their time on R&D related projects to help the business achieve ROI Current pipeline of projects are:- Customer lifetime value  behavioural analytics- Single customer view- Cloud migration WHAT YOU NEED:   You can earn up to £115000  bonus   in this position   To be considered for this exciting opportunity please submit your details using the Apply button on this page For more information about similar roles please contact  at   R Python SQL Hadoop Data Scientist Data Science Machine Learning Supervised Learning Unsupervised Learning Financial Services Retail Bank Customer Data Analyst Analysis    A strong knowledge of machine learning techniques and statistics A passion for data and using data to uncover insights and solve challenging business problems Strong communication skills Experience in building and leading teams and fostering a culture of innovation A PhD is preferred Strong skills in R or Python Experience in using SQL (Cloud experience is a bonus),Permanent,2019-10-24,105000,115000
66,['VACNS<'],Machine Learning Engineer,London,£50000 - £70000 per annum + Benefits,Robotics Company£70000   The Company  are working with a robotics company in Hertfordshire who are looking to hire a number of machine learning specialists Here are some key company highlights: The Role -  You will be: Your Skills and Experience -  You must have: The Benefits -  £70000  bonus  healthcare  pension  many more How to Apply?  For more information about similar roles please get in touch with  at  Keywords Python AWS Spark Machine Learning Software Engineering Statistics Artificial Intelligence Data Scientist Data Science big data deep learning CICD Cython Kubernetics Docker   Company is now valued at over £1bn They have grown hugely over the last 5 years partnering with some industry leaders They have robotics as part of their operations and logistics Huge growth plans for the data science and machine learning team World-class team of machine learning specialists Working on problems in relation to recommender systems Working on problems in relation to optimising warehouse logistics deliveries and personalised products for customers Working as part of a large team of scientists and engineers Working with the latest tools and technologies Delivering high-impact algorithms for the business An MSc or PhD in Computer Science (preferred) otherwise quantitative discipline Experience working on end-to-end machine learning solutions Knowledge in software engineering principles and best practice A strong knowledge of machine learning (andor deep learning),Permanent,2019-10-24,50000,70000
67,['VACngjwlk4304'],Data Scientist,London,£110000 - £120000 per annum + Benefits,"Retailer£110000 - £120000  The  Data Science team have been exclusively retained by a well-known and loved UK brand to hire a team of 15 s The team you will join are to sit at the heart of the organisation with one clear goal: to introduce machine learning to several key areas striving to automate and generate new revenue opportunities As a team you will report directly to the board (CDO) and have significant resources to drive your initiative forward and grow the capability Key parts of your job will be to utilise cutting-edge data science and machine learning techniques to bring considerable value for the business  As a   SKILLS AND EXPERTISE To be considered for this position you must have the following:  To be considered for this exciting opportunity please submit your details using the Apply button on this page or contact  at   Python SQL Machine Learning  Data Science Lead  Hadoop Spark AWS GCP Artificial Intelligence Deep Learning Leadership     Helping to build a world class data science team of 15-20 people Utilising machine learning and advanced techniques to deliver valuable gains across several key areas Working closely with board-level stakeholders on key business objectives ""Introducing a strong culture of innovation within the organisation contributing to the companys data-driven goals"" A proven track record of working as part of a high-performing team of data scientists and researchers Experience of delivering successful and high-value data science initiatives within an organisation PhD-level qualifications from a top university worldwide Strong stakeholder management skills",Permanent,2019-10-24,110000,120000
68,['63366/DL'],Senior Data Scientist,"West End, London",£60000 - £80000 per annum + Benefits," London £60000-£80000  Bonus  Benefits Looking for the chance to lead and expand your own Data Science team? This household name in the media sector is looking to overhaul its data function by bringing in an experienced team of Data Scientists : This company is a household name across many media outlets With the ambition of revolutionising their entire data function and how they use data to improve customer insight and experience it really is an exciting place to be : ""Youll be leading a team where your responsibilities will include:"" : Desired skills & attributes you should include: : : Please register your interest by sending your CV to Dan Lewis via the Apply link on this page Delivering actionable data science solutions for all aspects of customer interaction Building and expanding the data science work force and function Identifying and implementing advanced data solutions Implement & oversee end to end projects Understanding of a commercial environment Exceptional leadership and communication skills Technical Data Science skills eg Deep Learning Degree education in a STEM subject Competitive Salary  Bonus Multinational Company on resume Ability to implement own ideas with complete support",Permanent,2019-10-24,60000,80000
69,['VANC£Ri'],Lead Data Scientist,London,£110000 - £115000 per annum + Benefits,£115000   : A leading household is looking for a  to join their advanced analytics function in  to build a new machine learning practice from the ground-up You will form a team focused on bringing machine learning best-practice into the business to help across many different business areas This is a pivotal role and you will be expected to help build a team over the coming years which will take the company to new levels The  will also be required to spend a proportion of their time on R&D related projects to help the business achieve ROI Current pipeline of projects are: WHAT YOU NEED:  You can earn up to £115000  bonus   in this position   To be considered for this exciting opportunity please submit your details using the Apply button on this page For more information about similar roles please contact  at   R Python SQL Hadoop Data Scientist Data Science Machine Learning Supervised Learning Unsupervised Learning Financial Services Retail Bank Customer Data Analyst Analysis    Natural language processing  sentiment analysis to help understand customer engagement Customer lifetime value  behavioural analytics Single customer view Cloud migration A deep knowledge of both supervised and unsupervised machine learning techniques and statistics A wealth of experience in the application of machine learning to solve complex business problems Experience in working with big sets of customer data Strong communication skills A PhD is preferred Strong skills in R or Python Experience in using SQL (Cloud experience is a bonus) A track record in using machine learning to draw hidden insights from data,Permanent,2019-10-24,110000,115000
70,['62742/KD'],Senior Data Scientist ,London,£60000 - £70000 per annum + benefits + bonus,  £60000 - £70000    bonus Work for a company you love This is a brand-new opportunity to join an innovative Data Science team that focus on driving the company to understand their customers better than anyone else for that competitive edge As a Data Scientist in this team your primary motivation will be to explore cutting-edge techniques to deliver high impact solutions You will be using advanced statistical and machine learning modelling to improve customer experience by personalisation : This household name consulting company are committed to providing their customers with the best possible service better than their competitors No fear though although a consultancy their remit is -based With a clear vision and business plan they understand that the only way to do this is by championing a data-driven approach to every business decision You will be joining a culture that pioneers ideas in natural language processing applied to customer analytics and gain excellent training and learning opportunities reporting to one of the leaders in this field : Performing experimental techniques and advanced tools to deliver machine learning models in real-time generating massive impact This is a great opportunity for a Data Scientist to take on some more leadership responsibilities and be an inspiration to the rest of their team : : : Please register your interest by sending your CV to Kian Dixon via the Apply link on this page For more information about similar roles please get in touch Working closely with the CRM team to drive personalisation by using customer data to deliver machine learning models in Python andor R Projects include scanning customer emails using NLP techniques in Python to determine customer behaviour and create personalisation Extensive experience using Python andor R and google cloud platform The successful candidate will have commercial experience delivering machine learning models in customer analytics using Python andor R The ideal candidate will have experience leading a team and taking part in mentoring and training Experience deploying real-time system solutions in a commercial role is desirable £60000-£70000 Bonus,Permanent,2019-10-24,60000,70000
71,['VACNM$202-'],Data Scientist,London,£70000 - £75000 per annum + Bonus,Asset Management£70000 - £75000  Bonus  This is a unique chance to join a brand new division being set up in a prestigious asset management firm based in  You will be helping to build a range of internal products to give new found insights to the business and a vital information edge over their competitors You will perform a hybrid role which will combine complex analysis with delivery of strategy and insight to internal stakeholders and investors  You will be:  You must have:  £70000 - £75000  Benefits    Python R SQL Tableau Hadoop AWS  Data Science Machine Learning Predictive analytics Advanced analytics asset management investment financial services Utilising your expert knowledge of a range of techniques and technologies Building an internal platform and recommendation engine to help sales teams Delivering key insights to help the business make better investment decisions An MSc in an analytical degree Experience in the commercial application of data science Experience in delivering recommendations and insights to senior stakeholders,Permanent,2019-10-24,70000,75000
72,['66176/CW'],Data Scientist ,"City of London, London",£60000 - £61000 per annum + Yes," London United Kingdom Salary up to £60000 Benefits   Want to work with some of the biggest brands in the UK join a team of Data Scientists and Engineers to work on commercial projects that will utilise data sets to provide strong commercial gain   This well-established company has been growing rapidly working with some of the biggest brands in the UK and various advertising companies You will be working as part of a newly built innovative team looking at business problems and answering them through Data Science techniques  This role will allow you to work both independently and as part of the Data Team you will be required to problem solve on a daily basis using ML and AI Focusing on work how you can target business value and answer business problems    AND   Work with Stakeholders and discuss projects Work with visualisation tools Build ML and AI models Working hands on with Data on a daily basis Provide Data and Analytics to business insights Communicating with technical and non-technical stakeholders Experience within Data Science ""3 years experience in an analytical business environment"" Ability to work with stakeholders Experience using visualisation tools such as: Tableau PowerBI Qlik etc Experience using statistical modelling Efficiency using programming languages Experience using ML and AI Numerical or Computer Science degree Earning potential up to £60000  a number of  Please register your interest by sending your CV to Charlotte York via the apply link on this page",Permanent,2019-10-24,60000,61000
73,['VACN439820'],Machine Learning Engineer,London,£65000 - £70000 per annum + Benefits,"Product  Tech Company£70000   The Company "" are working with a tech company in  with a fantastic product loved by many Heres the highlights:"" The Role -  You will be: Your Skills and Experience -  You must have: The Benefits -  £70000   How to Apply?  For more information about similar roles please get in touch with  at  Keywords Python AWS Spark Machine Learning Software Engineering Statistics Artificial Intelligence =Data Scientist Data Science big data deep learning CICD Cython Kubernetics Docker Data and analytics drives decisions within their organisation They have robotics as part of their operations and logistics The number of subscribers to their service has rocketed in recent years Huge growth plans for the data science and machine learning team Very fun environment with people passionate about building something BIG Working on problems in relation to recommender systems (recommending the right product to the right customer) Working on problems in relation to optimising warehouse logistics deliveries and personalised products for customers Working as part of a team of 8 (x4 data scientists  x4 machine learning engineers) Working with tools such as Python AWS Spark Docker Kubernetics Cython Delivering high-impact algorithms for the business An MSc or PhD in Computer Science Experience working on end-to-end machine learning solutions Extensive knowledge in software engineering principles and best practice (CICD) A strong knowledge of machine learning Experience in using cloud-based technologies",Permanent,2019-10-24,65000,70000
74,['Vacancy #59730'],"Senior Data Scientist Up to £75,000 + Benefits London",London,£55000 - £75000 per annum,Senior Data Scientist Up to £75000  Benefits      The Company and Role Global travel company working across multiple products looking for a Data Scientist This company is well known for being one of the most tech-savy companies to work for You can expect to be engaging with a range of technologies and vast data sets to improve and create a variety of machine learning models    Role and Resonsibilities    Skills and Requirements    To qualify for this Data Scientist role you will need:   Benefits The successful candidate will receive a salary dependent on experience up to £75000 along side amazing    :Please register your interest by sending your CV to Sean via the Apply link on this page Experiment train and deploy machine learning models at scale Providing commercially viable applications using deep learning techniques Build a variety of Machine learning models and recommender systems  Advanced analytics and programming for models through Python Good SQLdata manipulation skills required including cleaning and managing data,Permanent,2019-10-24,55000,75000
75,['526347/IWS'],Lead Analytics Consultant,"Nottingham, Nottinghamshire",£35000 - £65000 per annum + bonus and benefits," Nottingham  Up to £75000  Extensive Bonus and Benefits Package A well-known global com data company are growing their consulting and data science team and are on the lookout for commercially minded Lead Consultants who will deliver insights and help clients better understand their data  You will use your cosnutling knowledge to help drive a new product that has been built and designed by the company This will be used to support multiple clients across multiple areas but mainly finance and retail banks You will play a key role for this household name and work cross-functionally giving you fantastic exposure to all areas of the business   ""You dont have to tick all of the boxes but some of the following would be relevant:"" Salary and Benefits The successful candidate can expect to earn up to £75000 plus bonus plus         Providing insights to C-suite clients and work in a Data Science Consultant team You will take ownership of projects and work with board-level stakeholders You will work on ad-hoc projects and use the companies new data lake to provide deep-dive insights You will work their numerous clients eg banks and retailers and have global stakeholders  You will have commercial experience within an analytics environment  Ideally you will have experience delivering insights to stakeholders You will be comfortable with big data and analysing large transactional datasets with millions of rows  Experience within customer insight and presenting senior stakeholders",Permanent,2019-10-24,35000,65000
76,['VAC - 111'],Head of Data Science ,London,£115000 - £130000 per annum + Additional Benefits,   Up to £130000  The Company  This is your opportunity to work in one of the largest media companies in the world This role will give you the ability to grow your own team of data scientists from the ground up and shape this capability from scratch The Role  In this team you will start off managing 2-3 data scientists and then grow this to about 20-30 You will get the unique opportunity to grow a big team and also remain hands on using tools such as Python Spark and Cloud ML In this role you will: Key Skills and Requirements      Interested? Please register your interest by submitting your CV directly by applying to this advert Lead the data science strategy and team to deliver data science solutions eg retention acquisitions and customer management using Python and Spark Recruit and maintain the data science function Engage with senior stakeholders to identify and implement advanced analytics solutions Develop and implement end to end best practices eg model development management test design and deployment using Python and SAS Degree in STEM subjects Five years or more experience in Business Analytics using different types of databases Experience in Machine Learning Experience in Python with experience on GCP eg cloud ML BigQuery etc) Data Modelling Experience with Tensorflow Orange SQL SAS R Matlab Experience with Spark CC or Java,Permanent,2019-10-24,115000,130000
77,['51928/KP'],THE COMPANY ,"City of London, London",£40000 - £50000 per annum,This is an opportunity for an experienced Data Scientist to lead this companies advanced analytics funtion This leading company is expanding their data science team to take capabilities to the next level  This leading organization is at the forefront of their industry and has the scope to develop its employees through a wide array of different platforms where you are recognised for your efforts and work that you put in With a portfolio all over the globe they are looking for talented and driven leaders to embark on this journey with them The Role   Please register your interest by sending your CV to Krishen Patel Via the Apply link on this page Lead the Data Science strategy and capability to deliver actionable data science solutions which includes Retention Acquisitions customer management finance and product Responsible for recruiting and retaining a sustainable data science function and build a world class team to support the business initiatives Engage with Senior stakeholders to proactively identify and implement advanced analytics solutions to dive business value Work with the technology teams to drive data transformation build robust and scalable analytics platforms Continuously innovate and drive thought leadership to evolve machine learning capabilities to support the business strategy Experience leading data science teams and delivering advanced analytics solutions on a large-scale cloud environment is essential Strong leadership skills building and managing large and high performing analytics teams Vast commercial skills and the ability to extract great actionable insights from data to drive business value The ability to interact with stakeholders and possesses high quality management skills Technical expertise on a wide range of cloud environments and tools for analytics Machine Learning techniques Technical skills including coding model development and deployment ,Permanent,2019-10-24,40000,50000
78,['VACBe0'],Machine Learning Engineer ,London,£70000 - £80000 per annum,"£80000   are working with an AI start-up who have built a fantastic new product for the financial services space ""Highlights of their journey so far:- They spun out of a top  university- Won a prestigious Microsoft Venture Fund Award- Have received investment from some of Europes leading investors"" Their machine learning-led data platform allows businesses to make better use of their data in an ethical and secure way when dealing with 3rd parties  You will:  You must have:  £80000     For more information about similar data science roles at  please contact  at   Python Airflow Docker Spark Kafka Machine learning engineer software engineer machine learning data science data scientist computer vision deep learning  Work alongside a team of Data Scientists to optimise improve and deploy machine learning models Experiment with deep learning and run tests and experiments Lead coding and engineering best practice Work with state of the art technologies (Spark Tensorflow Keras) An MSc or PhD in Computer Science Machine Learning Artificial Intelligence or Mathematics 1-2 years experience in a machine learning engineering role Experience with Python (pandas numpy scikit learn tensorflow keras) Unix github",Permanent,2019-10-24,70000,80000
79,['65217/KD'],Pricing Data Scientist ,Surrey,£40000 - £50000 per annum + benefits + bonus,  £40000-£50000  Applying exploratory advanced analytics and machine learning to customer loyalty problems this company are a global consultancy working with huge clients   As a Pricing Data Scientist you will be building machine learning solutions to pricing problems within insurance - rolling them out across the business and adding massive value KEY SKILLS AND EXPERIENCE  Please register your interest by sending your CV to Kian Dixon via the Apply link on this page For more information about similar roles please get in touch Creating initial machine learning proofs of concept in Python Building and implementing machine learning solutions using Python AWS and PySpark to generate insights that can potentially save or make the company millions Effectively delivering technical concepts to non-technical management and stakeholders Researching cutting-edge machine learning techniques and applying these to commercial problems within the insurance industry Commercial experience using Python and its libraries as well as AWS The successful Data Scientist will have proven commercial experience working with large messy data sets to generate proofs of concept and building machine learning models in Python The ideal candidate will have commercial experience effectively delivering machine learning solutions to clients Experience effectively communicating technical concepts to non-technical management and stakeholders is essential,Permanent,2019-10-24,40000,50000
80,['033947//IWS'],Predictive Analyst- All levels - Graduate-Lead ,"City of London, London",£35000 - £80000 per annum + bonus and benefits," London From £35000-£85000 This company are a fast-paced health care and AI start-up who have both an app and a websiteThey have had huge investment in data and analytics and are currently building a Data lake in Google Cloud platform The company have heavily invested in data and are becoming more data driven They are looking to revolutionise their digital offering ie create customer profiles develop insights drive competitor analysis As a member of the product data science team you will be responsible for being hands-on with their App and Website and work with the Data Science function you will be a key and integral part of helping the business to understand their data  Predictive Analysts  ""You dont have to tick all of the boxes but some of the following would be relevant "" Salary and Benefits The successful candidate can expect to earn up to £80000 plus bonus plus  The company offer a fantastic bonus structure as well as stock options They also have wellness and health  as well as social and sporting groups        You will use SQL to analyse customer data and derive insights Work on strategic attribution modelling projects  You will be modelling on large data sets in Python You will create clustering models and segmentations  You will be a key part of advanced machine learning projects  You will take ownership of projects and work with board-level stakeholders You will work on ad-hoc projects and use the companies new data lake to provide deep-dive insights You will have commercial experience of SQL and Python Ideally you will have experience analysing customer data  Experience within customer insight and presenting senior stakeholders",Permanent,2019-10-24,35000,80000
81,['VACNfn'],Data Scientist,London,£70000 - £75000 per annum,£70000 - £75000  Benefits  This is an opportunity to join a top fintech SaaS provider as a   Machine Learning expert in their  office You will join a team of 4 s and Developers) and you will focus on building machine learning models to solve a variety of problems You will be joining a team with a start-up feel to it working closely with the Head of Data ScienceEngineering to build a data-driven culture of innovation Key parts of your job will be to experiment with machine learning techniques to harness the value in massive sets of data building a number of products for the company to gain a competitive edge  As a   SKILLS AND EXPERTISE To be considered for this position you must have the following:  To be considered for this exciting opportunity please submit your details using the Apply button on this page  Python SQL Machine Learning  Data Science Big Data Insight Saas B2B Utilising machine learning to solve problems in marketing recommender systems text analytics & customer contact etc Mentor junior data scientists Learn from technical leads Experimenting with new techniques and technologies Hands-on experience with Python libraries for machine learning Masters degree qualification in a Statistical or numerate degree Experience with deep learning is a plus (opportunities to learn this),Permanent,2019-10-24,70000,75000
82,['66176/ROK'],DATA SCIENTIST,London,£50000 - £60000 per annum," CENTRAL LONDON £50000-£60000 Do you want to join a hugely ambitious company that has grown larger than expected over the last year? This audio advertising leader is seeking a Data Analyst to join their ever-growing team If you want to join this exciting company where you work cross-functionally with many areas of the company- apply here   : As a Data Scientist you will be working with this leading media and entertainment group is driven by their culture their talented employees and of course their loyal customers Their focus is how they make people feel They are focused on making more moments that matter for their audience : As a Data Scientist  ""YOU DONT HAVE TO TICK EVERY BOX BUT EXPERIENCE IN THE FOLLOWING WOULD BE BENEFICIAL:""   :   : ""Please register your interest by sending your CV to Rachel O Keeffe via the Apply link on this page"" Working with the data team but also working independently Doing commercial programming Working across predictive modelling personalisation and segmentation Working with a focus on insights and analytics Strong academic qualifications with an advanced degree in a quantitative discipline- ideally within the STEM category Experience using SQL and Tableau in a commercial environment Experience using Python in a commercial environment Experience using R in a commercial environment Experience using a visualisation tool in a commercial environment Experience in a previous Senior AnalystData Scientist role The ability to work on large datasets Earning potential up to £60000 plus more",Permanent,2019-10-24,50000,60000
83,['60205/DL'],Machine Learning Engineer,"West End, London",£75000 - £100000 per annum + Benefits," London £75000-£100000  Looking for the chance to progress your career in Machine Learning? This disruptive unicorn start-up are looking for Machine Learning experts to join them in their drive to revolutionise ecommerce : ""This company is the market leader in their field Their ground breaking technology is well regarded within their field - In a bid to become the worlds best they want your expertise"" : ""Youll be using Machine Learning and Artificial Intelligence Techniques to:"" : Desired skills & attributes you should include: : : Please register your interest by sending your CV to Dan Lewis via the Apply link on this page Innovate ML technologies Deliver the technologies from initial design stage Utilise Deep Learning tools to create object detection software Become proficient in multiple programming languages Proven practical experience in Machine Learning Knowledge of Deep Learning frameworks Mathematical & Algorithmic expertise Start-Up culture Huge career progression possibilities Chance to work on ground breaking technologies Highly Competitive Salary",Permanent,2019-10-24,75000,100000
84,['Vacancy #57166'],"DATA SCIENTIST£50,000 - £65,000 + BENEFITSLONDON",London,£50000 - £65000 per annum, Leading retailer looking for a Data Scientist to deliver actionable data science by performing analysis to predict measure and interpret business trends : This company have built and successfully deployed intelligence into their everyday activities and are already delivering quality value into the business through data science : As a Data Scientist you can expect to be engaging with a range of technology teams to build effective solutions for managing customer engagements through continuously innovating and driving new ideas YOUR ROLE AND RESPONSIBILITIES: : To qualify for this Data Scientist role you will need: :  The successful candidate will receive a salary dependent on experience between £50000 and £65000 as well as a generous  : Please register your interest by sending your CV to Sean via the Apply link on this page Work alongside Lead Data Scientist to develop the data science agenda Analysis to predict measure and interpret business trends Provide deep insight on customer behaviour Advanced analytics and programming for models through Python Commercial experience working with large data sets Proven machine learning experience ,Permanent,2019-10-24,50000,65000
85,['VAC - 42302'],Lead Data Science ,Northamptonshire,£35000 - £45000 per annum + Additional Benefits, Northampton  Up to £45000  The company  Join one of the leading retail banks in the UK using your specialist knowledge in Data Science to influence and fuel their analytics strategy This company pride themselves on putting their employees at the forefront of their business constantly helping them progress The Role In this role you have the unique opportunity to shape the way data science is used You will not only build models but also see them through to implementation using Python - all to generate value and on board customers You will: Key Skills and Requirements    Interested? Please register your interest by submitting your CV directly by applying to this advert Define solution approach and deliver required models using Python and Hadoop Define and lead the strategic technical direction of data using Python and R Use machine learning to push the business forward Strong experience with Python and R Experience in deep learning techniques such as computer vision speech to test and natural language processing via Tensorflow Strong Mathematical background,Permanent,2019-10-24,35000,45000
86,['53029'],Lead Data Scientist,London,"£50000 - £100000 per annum + Bonus, other benefits",  UK £100000 Salary Looking for a  to join a global media giant and lead up their Data Science team on a range of exciting customer-focused projects  This global media company are looking for a  with extensive experience to come in and lead their Data Science team You will be taking the companies advanced analytics function to the next level leading a team of Data Scientists on commercially applicable projects and reporting directly into the Head of Data Science Your responsibilities as a  will include but not be limited to:    Please register your interest by sending your CV to Luke Frost via the Apply Link on this page Applying Machine Learning techniques to the companies data-sets to build commercial insights Oversee projects and ensure pragmatic delivery and model deployment of Data Science projects across the business Lead a team of Data Scientists on commercially applicable Data Science projects Strategically plan Machine learning projects focusing on NLP Personalisation Recommendation and other consumer focused techniques Mentor more Junior Data Scientists Minimum of an MSc from a Top University in a stem subject ie Maths Stats Physics Computer Science etc Minimum of 3 years commercial experience as a Data Scientist (preferably more) Experience In building machine learning models and seeing it through to deployment Proven experience leading data science teams on commercial projects Very strong technical and programming skills Strong salary Bonus Very good Benefits package,Permanent,2019-10-24,50000,100000
87,['573524/KD'],Machine Learning Engineer,London,£75000 - £85000 per annum + benefits + bonus,  £70000-£85000 Do you want to be working on end to end projects solely with a focus on building and developing cutting-edge machine learning models? : The unicorn start-up ecommerce company are focusing on creating a state-of-the-art centralised data science function to drive revenue and optimisation within the business  : As a  you will sit between the reporting and research teams creating advanced analytics machine learning models and real time solutions that will have huge impact when deployed You will be working across a wide range of projects: : : : Please register your interest by sending your CV to Kian Dixon via the Apply link on this page For more information about similar roles please get in touch Building tailored machine learning products such as for forecasting and real time control using advanced machine learning techniques in Python Working with state-of-the-art technologies such as HadoopSpark Azure etc to build solutions that will ultimately generate business insights Researching cutting-edge techniques to create the best solutions to the most complex business problems their clients are facing Creating visualisations of your work to communicate insights from your machine learning solutions to non-technical management and stakeholders Extensive experience working with big data using HadoopSpark Previous commercial experience using Python to build machine learning models that have contributed value and increased performance within your company or client companies The successful  will have industrial experience coding in Python from building proof of concepts to deployment of tailored machine learning products Great communication skills - proven commercial experience in effectively communicating technical aspects to non-technical management Stakeholder management experience is required Up to £85000 Unicorn start-up FTSE 100 company Learning and development,Permanent,2019-10-24,75000,85000
88,['66719-SP'],MACHINE LEARNING ENGINEER ,London,£50000 - £60000 per annum + Strong benefits," £50000-£60000 BASED IN CENTRAL LONDON ""An exciting new role with an AI start-up has just come up thats using a innovate form of data to give companies a greater ability to protect themselves against things such as data fraud At the cutting edge of AI the team are making a real difference in the realm of privacy and data protection What they create is Data thats safer and more efficient for testing and innovation and also creates Opportunities that regular data doesnt"" :  This innovative AI start-up has already won multiple reputable awards with all indications pointing towards many more to come in the future As well as back from some of the most well-known brands on the planet They are now at an exciting stage of the business where they are looking to take things to the next level with multiple hires including a Machine Learning Engineer :  The roles main responsibilities will include: S:  The successful applicant with have the following skills and experiences: : :  Please register your interest by sending your CV to Sam Phillips via the link on this page Collaborating with the world-class team of Data Scientists to put Machine Learning models into production Using their form of data to help boost fraud detection preventing theft of extremely valuable data And helping to increase the accuracy of their detection models Using data to improve credit risk and optimise price of products that are lent out by financial intuitions Helping to protect against insurance fraud through the use of Machine Learning Commercial experience in running machine learning tests and experiments Will have proven track record of implementing Machine Learning algorithms Strong Python knowledge and have used it within a commercial setting Knowledge of Pandas Numpy Scikit learn Record of commercial application of Visualisation tools Proven history of productionising Machine Learning models: Including Docker andor buildpackaging systems Base salary up to £60000 Strong ",Permanent,2019-10-24,50000,60000
89,['64763/KD'],Senior Machine Learning Engineer,London,£80000 - £90000 per annum + benefits + bonus,  £80000-£90000 My client is heavily invested in finding a  with strong and varied machine learning experience to join a collaborative and inventive team As a  in this team you would be initiating experimental approaches to solving big business problems creating high value and higher impact for the company This team is encouraged to push the current R&D possibilities as far as they will go and provided with the newest technology to do so : This global travel company are looking for a top talent  to use experimental cutting-edge techniques and state-of-the-art tools to tackle challenging business-focused problems with big data This company has a clear vision and business plan using data-driven approaches for every business decision big or small You would also be receiving excellent training and learning opportunities as you would be reporting directly to one of the leaders in this field : As a  your main responsibilities will be working with messy and rich data sets then building and deploying the best data solutions to complex business problems: : : : Please register your interest by sending your CV to Kian Dixon via the Apply link on this page For more information about similar roles please get in touch Applying cutting-edge machine learning deep learning NLP and computer vision techniques to pioneer solutions to the most challenging business problems Providing internal consultancy across all business areas collaborating with all other teams and creating tailored automated machine learning solutions to problems faced Experimenting with brand new tools and technologies to innovate and therefore outcompete their competitors Current projects include using big data to develop recommender systems in real-time using Spark Extensive knowledge and use of Python andor R Proven strong and varied commercial experience in building machine learning solutions in Python The successful Senior R&D Data Scientist will have industrial experience working with big data to solve business problems to scale The ideal candidate will have experience in effectively presenting academic and experimental ideas Knowledge andor experience using and applying HadoopSpark and AWS to big data Preferably a PhD in machine learning or another related subject £80000-£90000 base salary Travel allowance Bonus,Permanent,2019-10-24,80000,90000
90,['48825'],Data Scientist - Logistics Start-Up ,"City of London, London","£80000 - £100000 per annum + shares, benefits"," London Up to £100000 salary    ""Opportunity for a data scientist to join an exciting tech logistics company in London with a global reach You will be solving complex problems in the logisticsdelivery space through the application of machine learning techniques Theyre established in over 100 countries and have huge data-sets to work with"" You will be given the chance to help lead data science efforts for the business deciding the best machine learning strategy for several challenging data challenges having a core impact in how the company operates being hands on in projects demonstrating your technical ability ""If youre a Data Scientist looking to join a company that is has achieved strong initial success and is looking to build out their analytics function then Apply Now"" As a Data Scientist your responsibilities will include but not be limited to:   A successful Data Scientist will have the following:  Benefits:   Please register your interest by sending your CV to Luke Frost via the Apply Link on this page Applying machine learning techniques to solve a broad range of business problems Helping to deliver scalable and feasible solutions with data science projects Identify potential sources of opportunity for the business through building models and insights MSc or PhD in Statistics Computer Science Machine Learning Maths Physics etc Proven commercial experience using either Python or R Strong commercial acumen Knowledge of deep learning is beneficial Experience working with geospacial data is beneficial but not essential Up to £100000 salary Shares in the company",Permanent,2019-10-24,80000,100000
91,['14097'],Data Scientist£550 per dayCentral London6-months,London,£500 - £600 per day,"Data Scientist£550 per dayCentral 6-months As a Data Scientist you will be part of a newly established Data Science team who are required to apply Machine Learning techniques to improve the current pricing strategy You will be working for a huge UK based Media Corporation : This company are one of the dominant few media organisations in the UK They sell millions magazines to customers nationwide but would like to improve their online presence They have recently established a Data Science team who are required to revolutionise their pricing model by applying Machine Learning to help predict relevant prices to charge : As a Data Scientist you are required to have Python expertise so that you can build predictive models for their pricing team to use You will be part of a growing Data Science function who need someone who can add value to their Machine Learning function Clustering techniques will be used to help tailor products to specific customer segments The ideal Data Scientist will have a Masters in Computer Science or Machine Learning : The ideal Data Scientist will have: :  Expertise programming in Python Applied Machine Learning techniques  Built predictive models for pricing purposes  Exposure to a variety of clustering techniques ""A degree andor Masters in Computer Science""",Contract,2019-10-24,500,600
