,company,job_title,salary,location,description,date
15,"
        Echobox",Data Science Intern,Nothing_found,London,"
 You will work closely with our Data Scientists and gain valuable AI/ML skills while being in charge of your own cutting edge NLP project.",10 months ago
16,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
17,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
18,"

        Yorkshire Building Society Group",Data Manager,"
                            £45,000 a year",Nothing_found,"
 Oversee the data deficiency process;As our next Data Manager you’ll ensure that data quality management practices and approaches are fit for purpose and result…",Nothing_found
0,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
            Identifies data sources, collects, transforms and prepares large amounts of data for analysis. Monitors and continuously improves the data sources, usability…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
2,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
3,"

        Yorkshire Building Society Group",Data Manager,"
                            £45,000 a year",Nothing_found,"
            Oversee the data deficiency process; As our next Data Manager you’ll ensure that data quality management practices and approaches are fit for purpose and result…",Nothing_found
4,"
        The Spencer Academies Trust",Data Assistant,"
                            £16,644 - £17,316 a year",Nottingham NG2,"
            You will provide support and assistance to the Data and Exams Team. We require an enthusiastic and committed data assistant who will work within a supportive…",13 days ago
5,"
        Nationwide Specialist Services",Data Entry Clerk/Administrator,"
                            £9 an hour",Leeds LS15,"
            Service Hub Data Administrator (Temp). Service Hub Data Administrator (Temp). Running internal reports for data mining. Part of NSS Cleaning – Retail.",30+ days ago
6,"

        St. George's University of London",Student Recruitment Assistant,"
                            £22,417 - £25,941 a year",London,"
            We are looking to appoint an exceptional person to join our Student Recruitment team and provide high-quality customer-focused advice and guidance to enquirers…",27 days ago
7,"

        Securitas",Emergency Fire Crew,"
                            £12.60 - £24.00 an hour",Southampton SO31,"
            £12.6 to £24 per hour. Tue 22nd, Jan 2019 until Thu 31st, Oct 2019. Securitas has unique and extremely important contracts with Fire Services across the UK.",7 months ago
8,"

        The Football Association",Player Insights Scientist,Nothing_found,St George's Park,"
            Experience of working with sports performance related data. Assimilation and analysis of data from clubs on England-eligible players. What we are looking for.",4 days ago
9,"

        University of Birmingham",Data Engineer,"
                            £30,942 - £42,792 a year",Birmingham,"
            Perform data analysis as required alongside the Data Analyst. Data Engineer - External Relations - 95100 - Grade 7. We enjoy being the first to do things;",14 hours ago
10,"

        UK Government - Legal Aid Agency",Caseworker,"
                            £19,926 - £21,488 a year",Birmingham B4,"
            Ensure all data is processed accurately, securely and in accordance with MoJ information assurance guidelines. Strong analytical and numerical skills.",10 days ago
11,"

        UK Government - Competition & Markets Authority",CMA1201 - Data & Technology Insight Adviser,"
                            £51,702 - £59,351 a year",London,"
            The team will work hand in hand with our data science and data engineering teams to shape and communicate analytical projects that directly benefit consumers.",4 days ago
12,"

        University of Birmingham",Enquiry Assistant,"
                            £17,543 - £21,217 a year",Birmingham,"
            Confidence in the use of IT systems for data entry and retrieval. Accuracy and attention to detail in data entry and in providing information.",2 hours ago
13,"

        KANTAR",Data Analyst,Nothing_found,London,"
            Join our team and you’ll be part of the 30,000 colleagues and 9 world leading research, data and insight brands that make up Kantar.",10 months ago
14,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
15,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
            Attention to detail, ensuring accurate recording of data. We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
16,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
17,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
18,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
0,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
 As our data architect you will be the data champion within Moneyline.What makes a data champion?*.As our Data Architect you will be:",Nothing_found
1,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
2,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
3,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
4,"

        TSB Banking",Junior Data Engineer,"
                            £15,000 - £24,999 a year",Gloucestershire,"
 As a Data Engineering Junior Developer, you will be exposed to our full software development lifecycle, this will involve sourcing data, designing data models,…",6 days ago
5,"

        Aramark Northern Europe",Data Librarian 40 Hours,"
                            £18,000 a year",West Yorkshire,"
 We are now looking for a Finance Assistant to join the Billing team at Head Office, Leeds.Reporting into the Billing Manager the main duties and…",11 days ago
6,"

        General Medical Council",HR Data and Systems Officer,"
                            £25,548 - £32,031 a year",Manchester,"
 You’ll produce reports on a monthly, quarterly, annual and ad hoc basis, providing the data we need to make the right decisions.Strong IT skills are a must;",10 days ago
7,"

        Capgemini",MDM Data Analyst,Nothing_found,United Kingdom,"
 Hands-on experience in the areas of Master Data Management, Data Architecture, Data Migration, Data Quality Management and Information Governance.",30+ days ago
8,"

        easyJet",Data Analyst,Nothing_found,Luton Airport,"
 Support the development of the Holidays Data Model working with the central Data Team.Create performance reporting and data product documentation.",5 days ago
9,"

        The Princess Alexandra Hospital NHS Trust",Data Quality Analyst,"
                            £30,401 - £37,267 a year",Harlow CM20,"
 You will be a key individual in the Data Quality team ensuring that critical information systems provide good quality data and compliance with data standards.",3 days ago
10,"

        Bury College",Student Information Administrator (Admissions),"
                            £18,209 - £22,116 a year",Bury,"
 You will collate and analyse data so that reports can be produced and any issues or backlogs identified.You will provide detailed advice, guidance and support…",5 days ago
11,"

        Health Education England",Data & Information Manager,"
                            £44,606 a year",Leeds LS1,"
 There are several programmes of work within HEE which deal with trainee data, primarily the Trainee Information System (TIS) Programme, MDRS e.g. Oriel,…",5 days ago
12,"

        Joseph Hage Aaronson LLP",Data Administrator,Nothing_found,London,"
 This Data Administrator position is a unique, entry-level opportunity where you will focus on accurately inputting data from various sources.",9 days ago
13,"
        Wayhome",Data Scientist,"
                            £70,000 - £80,000 a year",Bank Station,"
 Reporting to our Lead Data Scientist, you’ll help us with the following:Create and design training data sets, working with our colleagues and partners.",7 days ago
14,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
15,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
 Attention to detail, ensuring accurate recording of data.We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
16,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
17,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
 During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
18,"
        Kubrick Group",Data Transformation Evangelist,Nothing_found,Nothing_found,"
 Training and developing the next generation of Kubrick Data Specialists.Many years of solid experience in data transformation roles (specified above).",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
2,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
3,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
4,"

        Mintel","Data Entry - Swedish, Norwegian, Danish or Finnish",Nothing_found,London,"
 We are looking for an engaged individual to excel in an office environment and contribute to our long term success.We are excited hearing from you, if you….",5 days ago
5,"
        south pole group",Sustainability Intern,Nothing_found,London,"
 Seek, organise and generate data.The Sustainability Intern will support our sustainability experts by conducting research tasks related to advisory for the…",13 days ago
6,"

        HSBC",Cashier,Nothing_found,Truro,"
 Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.",7 days ago
7,"

        ITV Jobs","Team Assistant, ITV Creative Leadership Team",Nothing_found,London,"
 Our vision is to be More than TV, building upon ITV’s unique and winning combination of creativity and commercial strength, driven by investment in data and…",9 days ago
8,"

        Ricardo",Machine Learning & Data Analytics Specialist,Nothing_found,Shoreham by Sea,"
 Demonstrable interest in big data, data analytics and learning based approaches.A technology/ software enthusiast, keen to learn, researching new technologies …",30+ days ago
9,"

        Amazon UK Services Ltd.",Human Resources and Social Sciences Internship,Nothing_found,United Kingdom,"
 We want to hire the world’s brightest minds, and offer them an environment in which they can relentlessly improve the experience for our customers.",10 days ago
10,"

        British Transport Police",Vulnerability Administrator,"
                            £19,130 a year",London,"
 Make data available to stakeholders and partners as directed, ensuring the integrity of all data held within the department.",2 days ago
11,"
        UK Government - Office for Students",Teaching Excellence and Student Experience Officer,"
                            £29,344 - £30,813 a year",Bristol,"
 , will have well-developed analytical skills and the ability to understand, interpret and analyse qualitative and quantitative evidence and data from a range of…",10 days ago
12,"

        NHS Digital",Data Analyst Apprentice,"
                            £18,000 a year",Leeds LS1,"
 The apprenticeship scheme is designed to increase your experience of analysis, statistics, data management and data science.We are looking for People who are:",13 days ago
13,"

        boohoo.com",Buying Admin Assistants - Karen Millen & Coast,Nothing_found,London,"
 Inputting data into Excel and systems.Supporting our buying and merchandising functions with general administration tasks.Is an ambassador for the brand.",9 days ago
14,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
15,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series.",Nothing_found
16,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
17,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
 During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
18,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
 Attention to detail, ensuring accurate recording of data.We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
0,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
1,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
2,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
            As our data architect you will be the data champion within Moneyline. What makes a data champion?*. As our Data Architect you will be:",Nothing_found
3,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
4,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
5,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
6,"
        Kapeinternships",Investment Research Internship – Financial Data & Analysis,Nothing_found,London EC2A,"
            Carry out extensive data entry. Create deal and fund data cards. Research transactions to obtain missing data. Carry out industry and sector analysis.",7 days ago
7,"
        REPLY",Data Scientist,Nothing_found,United Kingdom,"
            Processing, cleansing, and verifying the integrity of data used for analysis. Key to our client offering is to develop consultants whose expertise spans Banking…",7 months ago
8,"

        BCD Travel Corporate",Web Developer/Data Analyst,Nothing_found,London,"
            As one of our Technical Data Analyst/Developers, you will work closely with other areas of our Global Data Management division for our Operational Intelligence…",3 hours ago
9,"
        Calmin group",Graduate Data Scientist,Nothing_found,United Kingdom,"
            Good data manipulation skills required including cleaning, managing, merging data. MSc in a Data Science or Analytics field.",5 days ago
10,"

        NCFE",Customer Recovery Officers (x2),"
                            £25,000 a year",Newcastle upon Tyne,"
            Whilst reporting key data to the business on trends, identifying process failure and providing recommendations for improvement. Up to £25,000 per annum.",11 days ago
11,"

        GSK","R&D Data Science Graduate programme, UK, 2020",Nothing_found,Stevenage SG1,"
            R&D Data Science Graduate programme. By joining the GSK Data Science Graduate programme, you will gain unique experience in the growing field of data science…",14 days ago
12,"
        Aptus Clinical",Contract Clinical Data Manager,Nothing_found,Alderley Edge,"
            = Upload study data to a variety of clinical and non-clinical databases and ensure ongoing timely data capture and data cleaning of all data sources.",13 days ago
13,"

        PwC",Client Administrator - London,Nothing_found,London,"
Data entry risk administration and reporting. Ability to interpret financial data and produce relevant reports. Confidence with numbers and budget work.",24 days ago
14,"

        St Leger Homes",Data Migration Analyst,"
                            £22,021 - £26,317 a year",Doncaster,"
            Job Profile Data Migration Analyst.pdf. We are looking for someone who can co-ordinate and support data migration tasks including data cleansing, extraction,…",4 days ago
15,"
        Source",Junior Producer,"
                            £175 - £220 a day",London,"
            In processing the information you supply we aim to comply with the General Data Protection Regulations. I am working with a new and exciting Post production…",6 days ago
16,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
17,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
18,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
            You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
0,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
1,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
2,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
3,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
4,"
        Kubrick Group",Data Transformation Evangelist,Nothing_found,Nothing_found,"
            Training and developing the next generation of Kubrick Data Specialists. Many years of solid experience in data transformation roles (specified above).",Nothing_found
5,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
6,"
        Hull Culture & Leisure",RECEPTIONIST,"
                            £18,065 - £18,795 a year",Kingston upon Hull HU3,"
            The post holder will create accurate data base records and provide an efficient clerical support for managers.",17 days ago
7,"
        Gibson Jones",Data Administrator,"
                            £21,000 - £23,000 a year",Cambridge,"
            Previous data entry and/or Administration experience. Gibson Jones are recruiting for a data administrator to join our clients small & friendly team in their…",11 days ago
8,"
        Artefact",Junior Data Consultant,Nothing_found,London,"
            State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data…",18 days ago
9,"

        UK Government - The National Archives",Apprentice Data Analyst Level 4,"
                            £19,095 a year",Richmond TW9,"
            Make an active commitment to building your skills and experience in data analysis and data management techniques. Good communication and presentation skills.",27 days ago
10,"

        Visa",Intern - Marketing (Summer 2020),Nothing_found,London,"
            Measuring and celebrating our social impact by collecting data, compiling case studies and producing reports. Identify actionable consumer insights, through the…",3 days ago
11,"

        Capital One - UK",Software Academy Internship Programme,"
                            £22,000 a year",Nottingham,"
            You’ll hone your skills within your chosen area – it could be anything from APIs to mobile and big data. At Capital One, we’re building a leading information…",30+ days ago
12,"

        Leeds Beckett University",Data Analyst,"
                            £34,804 - £39,152 a year",Leeds,"
            This includes creating processes to extract and prepare data for statutory returns, data quality reports and student record management.",30+ days ago
13,"

        Deloitte","Autumn 2020 Economist roles (Master’s Graduates), Economic Consulting, Financial Advisory London/Cambridge",Nothing_found,West Midlands,"
            Your opportunityThe Economic Consulting team is a group of 50 economists, based in London and Cambridge, working to apply best-in-class economic analysis to…",18 days ago
14,"
        Compliance Recruitment Solutions",Data Privacy Officer – Data Privacy/GDPR (any sector) Required,"
                            £100,000 - £120,000 a year",United Kingdom,"
Data erasure or rectification requests). Supporting internal privacy and compliance audits, as well as the Data Protection team in investigating information…",30+ days ago
15,"

        Covance",Clinical Data Monitor,Nothing_found,Leeds LS2,"
            Ensure that the data entry and QC of dose escalation data is completed within the required timelines. 1-2 years of data handling experience.",3 days ago
16,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
17,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
18,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
            You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Yorkshire Building Society Group",Data Quality Lead,"
                            £30,000 - £35,000 a year",Nothing_found,"
 Undertake Data Profiling to support data quality issue investigation.Using your experience of data management, governance and/or data quality initiatives.",Nothing_found
2,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
 As our data architect you will be the data champion within Moneyline.What makes a data champion?*.As our Data Architect you will be:",Nothing_found
3,"

        Yorkshire Building Society Group",Data Manager,"
                            £45,000 a year",Nothing_found,"
 Oversee the data deficiency process;As our next Data Manager you’ll ensure that data quality management practices and approaches are fit for purpose and result…",Nothing_found
4,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
5,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
6,"

        Whitgift Foundation",Administration Assistant (Part Time),"
                            £25,000 - £28,000 a year",Croydon CR9,"
 A background in a Customer Service role is essential for this role as is the ability to prepare reports and collate data accurately.",5 days ago
7,"
        APPRENTIFY",Social Media & Digital Marketing Apprentice,"
                            £16,000 a month",Liverpool L31,"
 Driving Return on Investment – using data to create detailed customer insight, you will learn how to use industry leading platforms (including Google Analytics)…",2 days ago
8,"

        Apple",Information Systems and Technology (IS&T) Internship - Accessibility / Data Visualisation Developer,Nothing_found,Uxbridge,"
 With your help we want to make data visualisations usable for everyone!But what if someone has a visual impairment and is unable to see this data?",11 days ago
9,"
        Legend Footwear",Data Entry Clerk,"
                            £25,000 - £30,000 a year",Greenford,"
 Process daily deliveries in the data base system ensuring all processed within required time table.The candidate should be well versed with computers as the…",5 days ago
10,"

        UK Government - Competition & Markets Authority",CMA1201 - Data & Technology Insight Adviser,"
                            £51,702 - £59,351 a year",London,"
 The team will work hand in hand with our data science and data engineering teams to shape and communicate analytical projects that directly benefit consumers.",4 days ago
11,"

        Newey electrical",Office Assistant,Nothing_found,Birmingham,"
 General office duties, inputting data, answering phones, generating letters.",2 days ago
12,"
        Fortitude Dynamics Group",Data Entry Assistant,"
                            £10 an hour",Guildford GU1,"
 Fortitude Dynamics Group are looking for a Data Entry Assistant.We are looking for a purely Data Entry Assistant who is good with Excel and word.",4 hours ago
13,"

        Scania",Data & BI Manager,"
                            £60,000 - £65,000 a year",Milton Keynes MK15,"
 Oversee the integration and staging of data, and the development and maintenance of the data lakes, data warehouse and data marts, for use by analysts…",38 minutes ago
14,"

        Arup",Graduate Climate Change Consultant,Nothing_found,London,"
 We support Arup's longstanding commitment to work on the most interesting and innovative projects by using the right modelling, data, technology and automation…",27 days ago
15,"

        RBS",Senior Data & Analytics Analyst,Nothing_found,Manchester,"
 Utilising an in-depth understanding of the interrelationships of data and multiple data domains.Knowledge of data science methodology.",4 hours ago
16,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
17,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
18,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
0,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
1,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
2,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
3,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
4,"
        Kubrick Group",Data Transformation Evangelist,Nothing_found,Nothing_found,"
            Training and developing the next generation of Kubrick Data Specialists. Many years of solid experience in data transformation roles (specified above).",Nothing_found
5,"

        DJ Alexander",Experienced Data Analyst,Nothing_found,Nothing_found,"
            Experienced Data Analyst required - Edinburgh. Up-to-date knowledge of technology and data regulations. We are supported by EPCC and The Data Lab.",Nothing_found
6,"
        Westminster Forum Projects",Junior Data Entry Administrator,Nothing_found,Bracknell RG12,"
            We are actively recruiting for a Junior Data Entry Administrator to join our Marketing team. Assisting in data cleaning tasks to ensure all contact details are…",3 days ago
7,"

        PlayStation",Data Scientist,Nothing_found,London,"
            Presenting findings to stakeholders and building reusable data products through close collaboration with the relevant data engineering teams.",10 months ago
8,"

        Amazon UK Services Ltd.",Finance Internship,Nothing_found,United Kingdom,"
            You maintain close attention-to-detail, with an ability to carry out in-depth data mining; Data visualisation skills are also beneficial, such as proficiency in…",16 days ago
9,"

        Buckinghamshire County Council",School Administrator,"
                            £23,742 - £32,018 a year",High Wycombe,"
            School Administrator - Princes Risborough Primary School. Do you love meeting people? Are you organised and enthusiastic? Are you an excellent communicator?",3 days ago
10,"
        Plus Info Ltd",Data Engineer (Selenium Implementation and Configuration Engineer),"
                            £400 - £500 a day",Bristol,"
Data Engineer (Selenium Implementation and Configuration Engineer). £400-£500 per day (Expected to be Outside IR35). Organisation the work is for:",5 hours ago
11,"

        Nottingham Community Housing Association Ltd",Data Analyst,"
                            £29,063 a year",Nottingham NG5,"
            Knowledge of developing and using data warehouses is desirable. You will also review and challenge reporting practises to promote data integrity and robust…",5 days ago
12,"
        Hungerhill School","TIMETABLE, DATA AND COMPLIANCE MANAGER",Nothing_found,Doncaster,"
            TIMETABLE, DATA AND COMPLIANCE MANAGER FOR THE BRIGHTER FUTURES LEARNING PARTNERSHIP TRUST- PERMANENT, TO BE APPOINTED AS SOON AS POSSIBLE.*.",4 hours ago
13,"

        Gwynedd Council",Part Time Receptionist,"
                            £2,441 - £2,490 a month",Caernarfon,"
            Ensure that personal information is treated in accordance with Data Protection legislation. Ensure that the people of Gwynedd are at the heart of everything we…",4 days ago
14,"

        Newcastle University",NUAcT Fellow: Data Science in Health,"
                            £41,526 - £55,750 a year",Newcastle upon Tyne,"
            Extracting value out of this data requires a combination of Biomedical and Data Science expertise. Underpinning this paradigm shift is an understanding of ""Big…",2 days ago
15,"
        Allerdale Borough Council",Information Governance and Data Protection Officer,"
                            £31,371 - £34,788 a year",Workington CA14,"
            Following the introduction of the General Data Protection Regulation in 2018, we have worked hard to develop our processes and implement safe and compliant…",2 days ago
16,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
17,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
18,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
            Attention to detail, ensuring accurate recording of data. We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
